Site,SurveyYear,VegHeight,GrassPct,ShrubPct,ForbPct,CropPct,OpenGroundPct
0,2018,31,50.66666667,0,8.133333333,0,41.26666667
1,2018,28.13333333,1.066666667,0,25.33333333,14.73333333,58.86666667
2,2018,22.26666667,1.333333333,2,14.33333333,0,82.33333333
3,2018,32.93333333,0.866666667,0,25.33333333,0,67.46666667
4,2018,31.4,63.8,0,0.4,0,35.8
5,2018,29.46666667,24.33333333,0,4.666666667,0,71
6,2018,28.33333333,54.73333333,0,2.6,0,42.53333333
7,2018,41.6,36.66666667,0,24.66666667,0,38.66666667
8,2018,25.93333333,47.8,0,7.066666667,0,45.13333333
9,2018,17.13333333,18.66666667,0.333333333,1.666666667,0,80
10,2018,17.6,27.06666667,0,13,0,59.93333333
11,2018,20,37.26666667,0,9.666666667,16,37.06666667
12,2018,29.93333333,42.73333333,0,4.866666667,7.133333333,45.26666667
13,2018,15.46666667,51.8,0,1.933333333,0,46.93333333
14,2018,30.6,18.66666667,6.666666667,5.666666667,0,69
15,2018,9.866666667,14.33333333,0,18.86666667,0,66.46666667
16,2018,44,0,0,9,4.333333333,86.66666667
17,2018,22.53333333,10.06666667,5.2,5.4,0,79.33333333
18,2018,19.06666667,20.86666667,2.266666667,18.06666667,0,58.8
19,2018,7.533333333,19,0,5,0,76
20,2018,24.86666667,27,5.333333333,9.8,0,57.86666667
21,2018,11.73333333,31.33333333,0.666666667,5.666666667,0,62.33333333
22,2018,27.86666667,64.53333333,0,4.066666667,0,25.4
23,2018,22.6,60.13333333,0,10.13333333,0,29.73333333
24,2018,52.86666667,43.33333333,6.666666667,12.26666667,0,37.73333333
25,2018,34.6,18.73333333,0,2.266666667,20.33333333,58.66666667
26,2018,25.53333333,45.66666667,0,9.8,0,44.53333333
27,2018,6.333333333,0,0,9.466666667,0,90.53333333
28,2018,21.6,14.33333333,0,2,0,83.66666667
29,2018,25.86666667,23.53333333,0,17.4,0,59.06666667
30,2018,32.86666667,30.66666667,0.333333333,2,0,67
31,2018,19.2,14.26666667,0,17.06666667,26.6,42.06666667
32,2018,18.2,49.66666667,0,2.666666667,0,47.66666667
33,2018,32.93333333,60.4,0,6.2,0,33.4
34,2018,32.8,0,0,3,4.666666667,92.33333333
35,2018,21.66666667,25,0,9.4,27.53333333,37.4
36,2018,29.6,19.86666667,0,2.466666667,30,47
37,2018,16.46666667,42.4,0,3.066666667,0,53.2
38,2018,9.6,45.13333333,0,0.6,0,54.26666667
39,2018,30.26666667,25.4,0,5.2,0,69.4
40,2018,27.2,18.26666667,0,38.2,0,43.53333333
41,2018,53.6,63.66666667,0,9,0,27.66666667
42,2018,27.4,40.4,0,0.8,0,58.8
